timestamp,tweet_text,Location
2019-02-27 10:48:31+00:00,"b'Content in speech from the start, no bipolar immature and indiscriminate behavior, speaking like a true leader that he is... What an example for the world... India take heed #wewantpeace #SayNoToWar #PMImranKhan #PakistanZindabad https://t.co/L3hY4QUWKl'",Dubai
2019-02-27 02:03:47+00:00,b'@dremtee @WrongDoc Her bipolar behavior.....She played pig 50% of time',"Dubai, United Arab Emirates"
2019-02-26 19:07:45+00:00,b'Ando a ficar mt bipolar porra',Dubai 
2019-02-26 16:17:41+00:00,b'@krnataraj @ShekharGupta @sneheshphilip I am sure you are suffering from bipolar disorder. I pity you. End will be very painful. Sympathies. Dullards.',Dubai
2019-02-26 15:12:30+00:00,"b'#Repost @AlSadeemAstro \xe2\x80\xa2  \xe2\x80\xa2  \xe2\x80\xa2  \xe2\x80\xa2  \xe2\x80\xa2 The Eskimo Nebula or NGC 239, also known as the\xc2\xa0Clownface Nebula\xc2\xa0or\xc2\xa0caldwell 39, is a\xc2\xa0bipolar double-shell planetary nebula(PN). It was discovered\xe2\x80\xa6 https://t.co/fpP9FYkSTn'",Philippines/UAE
2019-02-26 00:55:35+00:00,"b'The Eskimo Nebula or NGC 239, also known as the Clownface Nebula or caldwell 39, is a bipolar double-shell planetary nebula(PN). It was discovered by astronomer William Herschel in 1787. The formation resembles... https://t.co/V5XhT2pO4Y'","Abu Dhabi, UAE"
2019-02-26 00:55:17+00:00,"b'The Eskimo Nebula or NGC 239, also known as the\xc2\xa0Clownface Nebula\xc2\xa0or\xc2\xa0caldwell 39, is a\xc2\xa0bipolar double-shell planetary nebula(PN). It was discovered by\xc2\xa0astronomer William Herschel\xc2\xa0in 1787.\xe2\x80\xa6 https://t.co/rqMmi2Ul40'","Abu Dhabi, UAE"
2019-02-25 19:15:22+00:00,b'Cyprus weather be bipolar as Fuck.',Cyprus | UAE
2019-03-30 14:32:53+00:00,"b""Let's combat the social stigma that often goes hand in hand with bipolar disorders, and bring international awareness. #WorldBipolarDay https://t.co/ruw395070a""","Dubai, United Arab Emirates"
2019-03-30 07:59:08+00:00,"b'World Bipolar Awareness Day will be celebrated each year on March 30th, the birthday of Vincent Van Gogh, who was posthumously diagnosed as having bipolar disorder.  #Bipolar #worldbipolarday #awareness #mood #disorder #Child #unusal #sensitive #brain #psychiatry #psychology https://t.co/MXHlm6y2Ma'",Abu Dhabi
