timestamp,tweet_text,Location
2019-02-27 11:43:58+00:00,b'Jesus was blinded for me. Jesus had schizophrenia for my sake.',Singapore
2019-02-24 16:45:42+00:00,b'You have schizophrenia! @tazbat99',Singapore
2019-02-22 16:09:12+00:00,"b'Typical walk of Schizophrenia afflicted Christo-Islamic British Brahmin, when clad in a dhoti.    https://t.co/rAUT1bTg4G'",India | Europe | Singapore
2019-02-22 12:11:41+00:00,"b""Creating a breed of schizophrenia and depression monkeys genetically . Wtf!  Go and suck some  monkey's dick to get some sense in  y'all""","Central Region, Singapore"
2019-02-20 08:01:06+00:00,b'.@sciam asks: Should mental disorders have names?  I thought they already had names?  Schizophrenia manifesting as seeing Russia behind everything is named Hillary.  Attention deficit hyperactivity disorder manifesting as not being able to finish a full sentence is named Donald. https://t.co/TnsUGqwNp7',Singapore
2019-03-27 13:26:35+00:00,b'Schizophrenia. https://t.co/q7lCg6PRoU',Singapore
2019-03-27 08:42:10+00:00,b'Recap of the players: Andrew is schizophrenia Marcus is telepathy Junyang is hallucination And Nicholas is Sexual Harassment.  OH MAN. SEE MY LIFE.',Singapore
2019-03-26 03:25:00+00:00,"b""@shxmimzz He's a 30 year old man who has schizophrenia""",Singapore
2019-03-23 14:29:50+00:00,b'Eating Tina cures schizophrenia @wangza',Singapore
2019-03-23 14:19:47+00:00,"b'Friends, schizophrenia is tuna..'",Singapore
2019-03-23 14:17:35+00:00,b'@wangza I assure you I will always have schizophrenia \xf0\x9f\x92\x98',Singapore
2019-03-23 14:15:24+00:00,"b'@wangza you are the prime minister of Singapore, the schizophrenia. Everyone needs you. \xe2\x9d\xa4\xef\xb8\x8f'",Singapore
2019-03-23 13:44:39+00:00,"b'@wangza I hope you can solve your own problems, my dear schizophrenia.'",Singapore
2019-03-17 03:49:51+00:00,"b""Every time someone describes something/somebody as schizophrenic it's almost always inappropriate. Schizophrenia is not split-personality disorder.""",Singapore
